book_num,sentence
3,"['at', 'last', 'irish', 'team', 'left', 'box', 'perform', 'another', 'lap', 'honor', 'brooms', 'aidan', 'lynch', 'back', 'connolly', 'clutching', 'hard', 'around', 'waist', 'still', 'grinning', 'bemused', 'sort', 'way', 'bagman', 'pointed', 'wand', 'throat', 'muttered', 'quietus']"
3,"['oh', 'stupid', 'lumos']"
3,['morsmordre']
3,"['stupefy', 'roared', 'twenty', 'voices', 'blinding', 'series', 'flashes', 'harry', 'felt', 'hair', 'head', 'ripple', 'though', 'powerful', 'wind', 'swept', 'clearing']"
3,"['he', 'raised', 'wand', 'pointed', 'winky', 'said', 'rennervate']"
3,"['prior', 'incantato', 'roared', 'mr', 'diggory']"
3,"['deletrius', 'mr', 'diggory', 'shouted', 'smoky', 'skull', 'vanished', 'wisp', 'smoke']"
3,"['ron', 'said', 'hermione', 'reproachfully', 'pulled', 'wand', 'muttered', 'reparo', 'glass', 'shards', 'flew', 'back', 'single', 'pane', 'back', 'door']"
3,"['he', 'pointed', 'wand', 'muttered', 'imperio']"
3,['engorgio']
3,"['moody', 'raised', 'wand', 'pointed', 'spider', 'muttered', 'crucio']"
3,"['reducio', 'moody', 'muttered', 'spider', 'shrank', 'back', 'proper', 'size']"
3,"['avada', 'kedavra', 'hermione', 'whispered']"
3,"['avada', 'kedavra', 'killing', 'curse']"
3,"['avada', 'kedavra', 'moody', 'roared']"
3,"['avada', 'kedavra', 'curse', 'needs', 'powerful', 'bit', 'magic', 'behind', 'could', 'get', 'wands', 'point', 'say', 'words', 'i', 'doubt', 'i', 'get', 'much', 'nosebleed']"
3,"['now', 'three', 'curses', 'avada', 'kedavra', 'imperius', 'cruciatus', 'known', 'unforgivable', 'curses']"
3,"['when', 'avada', 'kedavra', 'way', 'spider', 'died', 'snuffed', 'right']"
3,"['moody', 'raised', 'wand', 'pointed', 'harry', 'said', 'imperio']"
3,"['furnunculus', 'harry', 'yelled']"
3,"['densaugeo', 'screamed', 'malfoy']"
3,"['mr', 'ollivander', 'ran', 'fingers', 'along', 'wand', 'apparently', 'checking', 'scratches', 'bumps', 'muttered', 'orchideous', 'bunch', 'flowers', 'burst', 'wand', 'tip']"
3,"['rather', 'thicker', 'one', 'usually', 'sees', 'quite', 'rigid', 'ten', 'quarter', 'inches', 'avis']"
3,"['stupefy', 'shouted', 'unison', 'stunning', 'spells', 'shot', 'darkness', 'like', 'fiery', 'rockets', 'bursting', 'showers', 'stars', 'dragons', 'scaly', 'hides']"
3,['diffindo']
3,"['accio', 'dictionary']"
3,"['accio', 'firebolt', 'shouted']"
3,"['accio', 'parchment']"
3,"['i', 'learned', 'animagus', 'like', 'sirius']"
3,"['an', 'animagus', 'wizard', 'could', 'transform', 'animal']"
3,"['it', 'takes', 'years', 'become', 'animagus', 'register', 'everything', 'said', 'hermione', 'vaguely', 'squinting', 'index', 'weird', 'wizarding', 'dilemmas', 'their', 'solutions']"
3,"['lumos', 'harry', 'whispered', 'fifteen', 'minutes', 'later', 'opened', 'library', 'door']"
3,"['bagman', 'gave', 'harry', 'shoulder', 'quick', 'squeeze', 'returned', 'judges', 'table', 'pointed', 'wand', 'throat', 'done', 'world', 'cup', 'said', 'sonorus', 'voice', 'boomed', 'across', 'dark', 'water', 'toward', 'stands']"
3,"['relashio', 'harry', 'shouted', 'except', 'sound', 'came']"
3,"['they', 'squeezed', 'found', 'cool', 'dimly', 'lit', 'cave']"
3,"['chicken', 'said', 'hoarsely', 'removing', 'old', 'daily', 'prophets', 'mouth', 'throwing', 'onto', 'cave', 'floor']"
3,"['thanks', 'said', 'sirius', 'opening', 'grabbing', 'drumstick', 'sitting', 'cave', 'floor', 'tearing', 'large', 'chunk', 'teeth']"
3,"['he', 'nodded', 'yellowing', 'daily', 'prophets', 'cave', 'floor', 'ron', 'picked', 'unfolded']"
3,"['you', 'three', 'dumbledore', 'ones', 'around', 'know', 'i', 'animagus', 'said', 'sirius', 'shrugging', 'continuing', 'devour', 'chicken', 'leg']"
3,"['when', 'harry', 'finished', 'sirius', 'feet', 'started', 'pacing', 'cave']"
3,"['sirius', 'paced', 'around', 'cave', 'silence']"
3,"['the', 'malfoys', 'said', 'ron', 'suddenly', 'loudly', 'voice', 'echoed', 'around', 'cave', 'buckbeak', 'tossed', 'head', 'nervously']"
3,"['he', 'walked', 'cave', 'back', 'said', 'imagine', 'voldemort', 'powerful']"
3,"['sirius', 'stared', 'cave', 'wall', 'made', 'grimace', 'frustration']"
3,"['sirius', 'lapsed', 'silence', 'still', 'staring', 'cave', 'wall']"
